CID    DAY        COST                             
------ ---------- ---------------------------------
     1 04/20/1999                             43.00
     2 10/21/2001                             79.95
     3 01/27/1998                             80.95
     4 06/30/2001                             76.85
     5 07/17/2001                            263.90
     6 07/08/2001                             48.40
     7 06/15/1999                             34.95
     7 05/05/2000                             34.95
     7 09/26/2000                             34.95
     8 10/18/2001                             56.95
     9 09/10/2001                            158.80
    10 03/11/2001                            112.95
    11 07/27/2001                             82.05
    12 08/24/2001                             44.95
    13 05/18/2001                             46.40
    14 10/10/2001                            180.50
    15 12/01/2000                            147.85
    16 02/27/2001                             70.90
    17 09/13/2001                            119.85
    18 09/22/2001                            183.85
    19 07/23/2001                            341.68
    20 06/01/2001                             95.15
    21 11/19/2001                            245.90
    22 03/04/2001                            209.95
    23 10/27/2001                            107.85
    24 10/23/2001                             63.40
    25 11/30/2001                            399.50
    26 06/30/2001                             73.90
    27 06/05/2000                             23.95
    28 07/17/1999                            139.85
    29 09/20/2001                            118.90
    30 10/20/2001                            125.90
    32 05/18/2001                            278.73
    33 09/30/1999                            132.30
    34 05/29/1999                             44.49
    35 03/28/2001                            167.80
    36 10/30/1999                            152.35
    37 10/21/2001                            210.95
    38 10/11/1997                             41.45
    39 01/09/2001                             87.40
    40 06/12/1999                            230.90
    41 06/05/1998                            242.90
    42 08/19/2001                             94.80
    43 03/17/2001                            100.35
    44 10/23/2001                            288.73
    45 07/14/2001                             57.95

  46 record(s) selected.
